,name,city,GD_Name,GD_Med,GD_Act,GD_City,GD_kvk_ref,GD_other_in_list
10,TOP Logistics BV,Spijkenisse,                    Top Logistics B.V.                ,25  werknemers,                            Actief sinds                             1990                        ,                                SPIJKENISSE                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Top Logistics B.V.', 'TOP Short Sea Logistics B.V.', 'Top Quality Logistics B.V.', 'Topper Logistics B.V.', 'Promontoria Logistics Poland TopCo B.V.', 'Promontoria Holding Logistics TopCo B.V.', 'Promontoria Holding Logistics TopCo 4 B.V.', 'Promontoria Holding Logistics TopCo 5 B.V.', 'Promontoria Holding Logistics TopCo 6 B.V.', 'Holwerda Transport B.V.', 'J.B.A. Sprenkeling Beheer B.V.', 'Holwerda Transport Almere B.V.', 'Transportbanden Service Nederland B.V.', 'Transport Oriented Professional Services B.V.', 'Effec B.V.']"
11,Schenker Logistics Netherlands,Tilburg,                    Schenker Logistics Nederland B.V.                ,1698  werknemers,                            Actief sinds                             1974                        ,                                TILBURG                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Schenker Logistics Nederland B.V.', 'Schenker B.V.', 'Schenker Nederland B.V.', 'Schenker International B.V.', 'Schenker Transport Groep B.V.']"
12,VDH Cool Logistics BV,Breda,                    VDH Cool Logistics B.V.                ,33  werknemers,                            Actief sinds                             2018                        ,                                BREDA                            ,"52242 - Laad-, los- en overslagactiviteiten niet voor zeevaart                            ",['VDH Cool Logistics B.V.']
13,Bos Logistics Schiphol,Schiphol,                    Bos Logistics B.V.                ,281  werknemers,                            Actief sinds                             2008                        ,                                SCHIPHOL                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Bos Logistics B.V.', 'Bos Logistics Containers B.V.', 'Bos Logistics B.V.']"
14,Newcorp Logistics B.V.,Heinenoord,                    Newcorp Logistics B.V.                ,12  werknemers,                            Actief sinds                             2007                        ,                                HEINENOORD                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Newcorp Logistics B.V.']
15,De Graaf Logistics BV,Oosterhout,                    De Graaf Logistics B.V.                ,129  werknemers,                            Actief sinds                             1963                        ,                                OOSTERHOUT NB                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['De Graaf Logistics B.V.', 'de Graaf Management & Logistics B.V.']"
16,Transport J.A. van Wanrooy BV,Oosterhout,                    Transportbedrijf J.A. van Wanrooy B.V.                ,70  werknemers,                            Actief sinds                             1988                        ,                                TETERINGEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Transportbedrijf J.A. van Wanrooy B.V.']
17,CEVA Logistics Born 1,Born,                    CEVA Logistics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2015                        ,                                HOOFDDORP                            ,6420 - Financiële holdings                            ,"['CEVA Logistics B.V.', 'CEVA Logistics II B.V.', 'CEVA Logistics Headoffice B.V.', 'CEVA Logistics Finance B.V.', 'CEVA Logistics Netherlands B.V.', 'CEVA Logistics Dutch Holdco B.V.', 'CEVA Logistics Benelux B.V.', 'CEVA Logistics Headoffice B.V.', 'CEVA Logistics Fashion Services B.V.', 'CEVA Logistics Commerce EMEA B.V.', 'CEVA Logistics Services Holding B.V.', 'CEVA Logistics eServices B.V.', 'CEVA Logistics ZalareServices B.V.', 'CEVA Logistics Technology B.V.', 'CevaloShop', 'Cevalo B.V.', 'Cevalo Shop', 'Cevalo Maro B.V.', 'Ceval B.V.', 'Cevalu B.V.', 'Cevalo Maro Holding B.V.', 'Cevalo Maro Consulting', 'CeVaDo B.V.', 'CEVAST B.V.', 'C.E. van Roon', 'CEVA/EGL I B.V.', 'C.E. van Doorn', 'C.E. van Eunen', 'C.E. van Marle', 'C.E. van der Zel', 'C.E. van Nouhuys', 'CE Vastgoed B.V.', 'C.E. van der Goot', 'CEVA Holdco B.V.', 'C.E. van der Leek', 'C.E. van den Brink', 'CevA Holding B.V.', 'C.E. van der Hagen', 'CEVAP Technology B.V.', 'Cevalutex Tech. B.V.', 'Cevalu Pensioen B.V.', 'Cevalutex Beheer B.V.', 'Cevalutex Advies B.V.', 'C.E. van Dehn, oogarts', 'CEVA Coop Holdco B.V.', 'C.E. van Gils Beheer B.V.', 'C.E. van Rooj Beheer B.V.', 'CEVA Santé Animale B.V.', 'CEVA India Holding B.V.', 'CEVA Intercompany B.V.']"
18,Hartog Logistics B.V.,Hoek,                    Hartog Logistics B.V.                ,15  werknemers,                            Actief sinds                             1997                        ,                                LANGERAK ZH                            ,"52242 - Laad-, los- en overslagactiviteiten niet voor zeevaart                            ","['Hartog Logistics B.V.', 'Den Hartogh Gas Logistics B.V.', 'Den Hartogh Liquid Logistics B.V.', 'Cabooter Logistics B.V.', 'Den Hartogh Global B.V.', 'Den Hartogh Technical Services B.V.', 'Hartog Logistics B.V.', 'Den Hartogh Liquid Logistics B.V.']"
19,Nord Cargo BV,Klundert,                    Nord Cargo B.V.                ,10  werknemers,                            Actief sinds                             1998                        ,                                KLUNDERT                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Nord Cargo B.V.', 'Nord Cargo Moerdijk B.V.', 'Nord Cargo Logistics B.V.']"
20,XPO Logistics Eindhoven II,Eindhoven,                    GXO LOGISTICS NETHERLANDS II B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             1974                        ,                                EINDHOVEN                            ,6420 - Financiële holdings                            ,['GXO LOGISTICS NETHERLANDS II B.V.']
21,DHL Supply Chain Eindhoven,Eindhoven,                    DHL Supply Chain (Netherlands) B.V.                ,1050  werknemers,                            Actief sinds                             1985                        ,                                EINDHOVEN                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['DHL Supply Chain (Netherlands) B.V.', 'DHL Supply Chain Management B.V.', 'DHL Supply Chain eCommerce (Netherlands) B.V.', 'Exel Group Holdings (Nederland) B.V.', 'F.X. Coughlin B.V.', 'DHL Supply Chain (Netherlands) B.V.', 'DHL Supply Chain (Netherlands) B.V.', 'DHL Supply Chain (Netherlands) B.V.', 'DHL Supply Chain (Netherlands) B.V.']"
22,Van den Broek Logistics BV,Helmond,                    Van den Broek Logistics B.V.                ,91  werknemers,                            Actief sinds                             2004                        ,                                HELMOND                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Van den Broek Logistics B.V.', 'A.J.M. van den Broek Beheer B.V.']"
23,NL logistics & services,Bleiswijk,                    DJ Logistics & Services                ,1  werknemers,                            Actief sinds                             2016                        ,                                Inactief sinds                                 2019                            ,                                'S-GRAVENHAGE                            ,"['DJ Logistics & Services', 'BVG Logistics & Services', 'B & M logistics services', 'Vital Logistics & Services', 'NLS Logistics & Services B.V.', 'Baelde Services & Logistics', 'JAGO Logistics & Services B.V.', 'Variety Logistics and Services B.V.', 'A.A. Logistics & Services', 'White Gold Logistics & Services', 'H-ATO Logistics & Courier Services B.V.', 'International Logistics and Services B.V.', 'Valveco - logistics & services - B.V.', 'Braxator Trade and Logistics Services B.V.', 'LS Services & Logistics', 'PP Logistics & Services', 'Sun Services & Logistics', 'EMI Logistics & Services', 'MGM Services and Logistics', 'Flex Logistics & Services', 'Ethiopian Shipping and Logistics Services Enterprise', 'Dutch Logistics & Services', 'Khadir logistics & services', 'Diving, Logistics & Services', 'Greeny Logistics & Services', 'Ignasio Logistics & Services', 'DES Logistics & Services B.V.', 'Academic Clinical Services & Logistics (ACSL) B.V.', 'A. Soman Logistics & Services', 'A.C. Market & Logistics Services', 'SRN Services & Logistics B.V.', 'AWP Marine & Logistics Services', 'Y LOGISTICS SERVICES AND SOLUTIONS', 'Hgs Graphic Services & Logistics', 'Mouse Logistics & Services B.V.', 'VDH Logistics Solutions & Services', 'Koomen Logistics & Services B.V.', 'Baelde Services & Logistics B.V.', 'Health Services & Logistics B.V.', 'Global Logistics & Customs Services', 'JovaDo Logistics Support & Services', 'MAS Logistics and Financial Services', 'Logistics & Customs Services B.V.', 'Marvesa Logistics & Services B.V.', 'Foxconn Services & Logistics B.V.', 'General Services & Logistics B.V.', 'Dennis Ringeling Logistics & Services', 'Zelissen Logistics & Services B.V.', 'NK Finance & Logistics', 'Boeve Expedition & Logistics Services']"
24,Base Logistics BV,Klundert,                    Base Logistics B.V.                ,130  werknemers,                            Actief sinds                             1999                        ,                                KLUNDERT                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Base Logistics B.V.', 'Base Logistics Group B.V.', 'Parcel Base B.V.']"
25,Auction Logistics B.V.,Dongen,                    Auction Logistics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2008                        ,                                TILBURG                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Auction Logistics B.V.']
26,Kennis Transport en Logistics BV,Breda,                    KennisTranslations B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2011                        ,                                WIJK BIJ DUURSTEDE                            ,70221 - Organisatieadviesbureaus                            ,"['KennisTranslations B.V.', 'Kennis Transport & Logistics B.V.', 'KennisTrap', 'Kennis Trading', 'Kenn.is', 'kennis+', 'Kennis Totaal techniek', 'Kennis inZ', 'KennisID B.V.', 'KennisZorg', '""Kennis Wint""', 'KennisMatch', 'KennisKracht', 'Kennis in Media', 'KennisINzicht', 'KennisSpiegel', 'Kennis en Koken', 'Kennis-Tech', 'Kennis van Zaken', 'KennisKwesties', 'Kennis van Sport', 'KennisCentraal', 'KennisMeester B.V.', 'KennisPartner B.V.', 'Kenn-IT', 'Kenniscampus CV', 'Kennis en Talent', 'Kennisbanken.nl B.V.', 'KennisisKracht B.V.', 'Kennis en Energie B.V.', 'Kennis van Pompen B.V.', 'Kennis van Buiten B.V.', 'Kenniscentrum GHION', 'Kennis IJzerhandel B.V.', 'Kennis in Mensenwerk', 'Kennismakelaar.info', 'Kennis', 'KennisMenS Results B.V.', 'Kennisplatforms.nl B.V.', 'Kennis', 'Kennis Allround Service', 'Kennisbureau ter Meulen', 'Kennis door Verbinding', 'Kennis2', 'Kennia', 'Kennis Tegelwerken', 'Kennisz', 'KENNISS B.V.', 'Kennis in Werk en Bedrijf', 'Kennis van Communicatie']"
27,Allroad Logistics,Eindhoven,                    Allroad Holding B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2012                        ,                                EINDHOVEN                            ,6630 - Vermogensbeheer                            ,"['Allroad Holding B.V.', 'ADG Logistics B.V.']"
28,DNA United Forwarders Ltd.,Breda,                    D.N.A. United Forwarders B.V.                ,36  werknemers,                            Actief sinds                             1992                        ,                                BREDA                            ,"52109 - Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)                            ","['D.N.A. United Forwarders B.V.', 'D&N Automotive', 'DNA Urban Landscape B.V.', 'DN Audio', 'DN Autoparts', 'DN Autoverhuur', 'D. Nauta Muziek', 'D. Nauta Pensioen B.V.', 'DNAutomatisering', 'DNA | DNA', 'DnA', 'DN-A', 'DNA-C', 'DNA2', 'DNADN', 'DnA V.O.F.', 'DNa B.V.', 'DNAaf', 'DNA-BOX', 'D&N Auto en Allround Handel', 'dnaklik', 'D-nails', 'DNA Golf', 'DNATURA', 'DNAMX B.V.', 'DN Advies', 'DnaSoft', 'DNA Diana', 'DNA podia', 'DNA Tyres', 'DNA-Music', 'DNA GLOBAL', 'DNA Direkt', 'D Nails & Spa', 'DNA4fun B.V.', 'DNA studio', 'DNA Change', 'DNA Soft B.V.', 'DNA Groep B.V.', 'DNAstyling', 'DNA Partij', 'DNA hosting', 'DNA-Hosting', 'DNA Breda B.V.', 'DNA Breda B.V.', 'DNA Care', 'DNA020', 'D-Nails 4 you', 'D-nails & more', 'DNA Topgolf']"
29,Otentic Logistics B.V.,Oosterhout,                    Otentic Logistics B.V.                ,36  werknemers,                            Actief sinds                             1996                        ,                                OOSTERHOUT NB                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Otentic Logistics B.V.', 'Otentic Logistics B.V.', 'Otentic Logistics B.V.', 'Otentic Logistics B.V.', 'Otentic Logistics B.V.', 'Otentic Logistics B.V.']"
30,Schavemaker Transport Breda B.V.,Breda,                    Schavemaker Transport Breda B.V.                ,46  werknemers,                            Actief sinds                             1977                        ,                                BREDA                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Schavemaker Transport Breda B.V.', 'Schavemaker International B.V.']"
31,EA logistics & moving,Eindhoven,                    EA Logistics & Moving                ,Onbekend aantal  werknemers,                            Actief sinds                             2021                        ,                                EINDHOVEN                            ,4942 - Verhuisvervoer                            ,['EA Logistics & Moving']
32,Rhenus Contract Logistics Eindhoven B.V.,Son,                    Rhenus Contract Logistics Eindhoven B.V.                ,100  werknemers,                            Actief sinds                             1996                        ,                                SON EN BREUGEL                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Rhenus Contract Logistics Eindhoven B.V.']
33,Speedliner Logistics BV,Tilburg,                    Speedliner Logistics B.V.                ,58  werknemers,                            Actief sinds                             1985                        ,                                TILBURG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Speedliner Logistics B.V.']
34,Winter Logistics,Honselersdijk,                    Niels de Winter Logistics                ,1  werknemers,                            Actief sinds                             2014                        ,                                Inactief sinds                                 2022                            ,                                RIDDERKERK                            ,"['Niels de Winter Logistics', 'M. Winter Logistics & Transport', 'De Winter Logistics Zuid B.V.', 'De Winter Logistics Services B.V.', 'DFDS Logistics Winterswijk B.V.', 'Winters Logistics', 'Winters Logistics B.V.', 'XL Logistics B.V.', 'DFDS Logistics Transport Winterswijk B.V.', 'Roeterinks Logistics B.V.', 'Wiggers Logistics B.V.', 'Coco Logistics B.V.', 'Floriway B.V.', 'Logistics Apeldoorn B.V.', 'Inhil Globol Logistics B.V. i.o.', 'Lageschaar Multidiensten', 'DFDS Distri Holding B.V.', 'Optimaal Consultancy B.V.', 'Wärtsilä Services Switzerland AG', 'DFDS Logistics Winterswijk B.V.', 'DFDS Distri-Coldstores Winterswijk B.V.']"
35,Vortex Logistics,Nijmegen,                    Vortex Forwarding B.V.                ,20  werknemers,                            Actief sinds                             1988                        ,                                NIJMEGEN                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Vortex Forwarding B.V.', 'DKL B.V.']"
36,Firm Logistics,Rotterdam,                    Firm Logistics                ,1  werknemers,                            Actief sinds                             2017                        ,                                Inactief sinds                                 2019                            ,                                ROTTERDAM                            ,"['Firm Logistics', 'Firm Logistics B.V.', 'Firmus-Logistics', 'Firmus']"
37,Logic 4u - Logical Logistics BV,Roermond,                    Logic 4u - Logical Logistics B.V.                ,3  werknemers,                            Actief sinds                             2014                        ,                                ROERMOND                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Logic 4u - Logical Logistics B.V.']
38,Cityline Logistics BV,Dongen,                    Cityline Logistics B.V.                ,25  werknemers,                            Actief sinds                             1980                        ,                                DONGEN                            ,53202 - Koeriers                            ,['Cityline Logistics B.V.']
39,Formula 1 Logistics,Eindhoven,                    Formule B.V.                ,1  werknemers,                            Actief sinds                             2019                        ,                                Inactief sinds                                 2021                            ,                                WINSCHOTEN                            ,"['Formule B.V.', 'FormuleHRM', 'FormuleZ.org', 'Formule WWW', 'Formule WWW B.V.', 'Formula', 'Formula-AB', 'Formula A.S.', 'Formula B.V.', 'Formula 1 Finance B.V.', 'Formula T.E.C.', 'Formula Cars', 'FORMULAkart', 'Formula Home', 'FormulaCity', 'Formule Partner B.V.', 'Formule Logistics B.V.', 'Formula 2000 B.V.', 'Formula Reels', 'Formula Air B.V.', 'Formula Air B.V.', 'Formula 100 Industries B.V.', 'Formula Wheels', 'Formula One Art', 'Formula Moments', 'Formula Games B.V.', 'Formula Karting', 'Formula Once B.V.', 'Formula Wheels', 'Formula-Advies', 'Formula Wheels', 'Formula by Lina', 'Formula Zero B.V.', 'Formula Horizon', 'Formula Beheer B.V.', 'Formulas Studio', 'Formulebouw Vastgoed B.V.', 'Formule P', 'Formula E Rights B.V.', 'Formula Factory B.V.', 'Formula Blue Media', 'Formula K Europe B.V.', 'Formule 4', 'Formula K Holland V.O.F.', 'Formule A', 'Formule Q', 'Formule N', 'Formulia', 'Formule A', 'Viking Campers']"
40,Dekkers Transport Holland,Tilburg,                    Dekkers Transport Holland B.V.                ,6  werknemers,                            Actief sinds                             1956                        ,                                TILBURG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Dekkers Transport Holland B.V.', 'Dekkers Transport Holland Holding B.V.']"
41,Van den Bosch Transporten B.V.,Erp,                    Van den Bosch Transporten B.V.                ,74  werknemers,                            Actief sinds                             1965                        ,                                ERP                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Van den Bosch Transporten B.V.', 'Van den Bosch Transporten B.V.', 'Van den Bosch Transporten B.V.']"
42,Breewe Logistics,Breda,                    P.C. de Greef Management & Logistics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2007                        ,                                LAREN NH                            ,64303 - Beleggingsinstellingen met beperkte toetreding                            ,['P.C. de Greef Management & Logistics B.V.']
43,Sluyter Logistics Tilburg B.V.,Tilburg,                    Sluyter Logistics Tilburg B.V.                ,16  werknemers,                            Actief sinds                             2000                        ,                                TILBURG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Sluyter Logistics Tilburg B.V.']
44,BM Interfreight B.V.,Zevenbergen,                    BM Interfreight B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2016                        ,                                ZEVENBERGEN                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['BM Interfreight B.V.']
45,Cargo Logistics B.V. | Verzorgt complete logistieke ontzorging,Waalwijk,                    Car-go Logistics B.V.                ,10  werknemers,                            Actief sinds                             2016                        ,                                Inactief sinds                                 2021                            ,                                IZMIR                            ,"['Car-go Logistics B.V.', 'Cargo Logistics B.V.', 'CargoLogicx', 'Cargo Logistic Solutions B.V.', 'Cargo Logistics & Trading International B.V.', 'Cargo & Logistics Service', 'Cargo Logistics Solutions B.V.', 'Cargo Logistiek Holding B.V.', 'Cargologicx B.V.', 'Cargologic B.V.', 'Cargologicx Holding B.V.', 'Cargo Logic Holding and Management C.V.', 'CARGO d.i.c.', 'Cargolus', 'CargoXS B.V.', 'CargoTaxi', 'CargoBlok', 'Cargo@Flex B.V.', 'Cargoland', 'CargoPro B.V.', 'CargoSar B.V.', 'Cargolev B.V.', 'Cargodocs B.V.', 'CAR goods', 'Cargo Holding B.V.', 'CargoRoad B.V.', 'Cargo4All B.V.', 'CargoFrom B.V.', 'Cargoline B.V.', 'CargoFLEX B.V.', 'CargoTender', 'Cargolift B.V.', 'CarGoTrading', 'CargoMates V.O.F.', 'CargoFlexX B.V.', 'CargoTrans B.V.', 'Cargonetics B.V.', 'Cargonaut IP B.V.', 'Cargoland B.V.', 'Cargoledger B.V.', 'Cargowholesale B.V.', 'Cargoline Express', 'CargoShipping v.o.f', 'Cargo Rail Services', 'Cargo International B.V.', 'CargoGator Services B.V.', 'C-ARGO', 'Cargoliner Europe B.V.', 'Cargo-Line transport', 'Car-Go']"
46,XPO Supply Chain Netherlands,Oosterhout,                    GXO LOGISTICS NETHERLANDS II B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             1974                        ,                                EINDHOVEN                            ,6420 - Financiële holdings                            ,"['GXO LOGISTICS NETHERLANDS II B.V.', 'GXO LOGISTICS NETHERLANDS B.V.', 'GXO LOGISTICS NETHERLANDS III B.V.', 'GXO LOGISTICS NETHERLANDS B.V.', 'GXO LOGISTICS NETHERLANDS II B.V.']"
47,Gerritsen Group BV,Goirle,                    Gerritsen Group B.V.                ,3  werknemers,                            Actief sinds                             2015                        ,                                GOIRLE                            ,6420 - Financiële holdings                            ,"['Gerritsen Group B.V.', 'Cohencia Group B.V.']"
