company,web_site_adress,social_policy,enviroment_policy,Facebook_founded_date ,Facebook_adress,Facebook_followers,Instagram_account,,#countries_per_company,web site language,reference to the word sustainability,notes
DNA United Forwarders Ltd.,https://www.forwarder.net/nl/,https://www.forwarder.net/en/working-at,https://www.forwarder.net/en/certificates,05/09/11,https://www.facebook.com/dnaforwarders/   ,https://www.facebook.com/dnaforwarders/      231 followers/since 5 -9-2011,None,local,1,,Yes 2 times ,"Regarting to the ecological footprint  and the sustainability of the business, their page makes reference to the certifications it holds and they also  refering to the subject on the company's news in the form of an article /They are very concerned thought on Facebook about this issues "
Otentic Logistics B.V.,https://www.otenticlogistics.nl/,nothing mentioned on their website,"https://www.otenticlogistics.nl/en/about-us/otentic-logistics    Environmentally friendly
At Otentic Logistics safety, health and the environment have top priority. Situated on the waterfront, we are able to offer environmentally friendly transport over water in collaboration with the Oosterhout Container Terminal.

Our storage facilities are also equipped with the statutory safety requirements in order to prevent chemical pollution in case of a calamity. In daily operations, attention is paid to the correct way of recycling packaging materials and waste products.",26/09/15,,105,None,local,1,,,
VDH Cool Logistics BV,https://www.vdhcompany.com/en/,nothing mentioned on their website,nothing mentioned on their website,14/01/14,https://www.facebook.com/dnaforwarders/   ,637," https://www.instagram.com/vdh_company/,    264 followers",international,2,,,"On their website, they  do not mention anything about their policy, referring to the protection of the environment or their ecological footprint  or either the social policy inside the company regarding their employees"
First Logistics B.V.,https://firstlogistics.nl/,nothing mentioned on their website,"Met het oog op de toekomst

Een belangrijk doel van First Logistics is verduurzaming. Ook wij denken aan de toekomst en zijn dagelijks bezig om onze uitstoot te beperken en zo milieubewust mogelijk te opereren. Daarnaast plannen wij zeer effici�nt, zodat we de hoeveelheid gereden kilometers beperken.",,,None,10 followers,local,1,only dutch,,
TOP Logistics BV,https://home-of-logistics.com/,nothing mentioned on their website,nothing mentioned on their website,28/08/12,https://www.facebook.com/profile.php?id=100067103992987,120,128 followers,local,1,,,
Claassen Logistics,https://www.claassen.nu/,https://www.claassen.nu/en/about-us/corporate-social-responsibility/,https://www.claassen.nu/en/about-us/corporate-social-responsibility/,18/10/14,https://www.facebook.com/ClaassenLogistics/,1200,425 followers,local,1,,,
Vortex Logistics,https://www.vortex-logistics.com/joloda/,nothing mentioned on their website,nothing mentioned on their website,16/01/16,https://www.facebook.com/profile.php?id=100067103992987,246,None,international ,2,,,
Hartog Logistics B.V.,http://www.hartog-transport.nl/,nothing mentioned on their website,nothing mentioned on their website,09/04/14,https://www.facebook.com/adenhartogtransportlangerak/,3100,None,local,1,,,
Newcorp Logistics B.V.,https://www.newcorplogistics.nl/nl/,nothing mentioned on their website,nothing mentioned on their website,13/10/20,https://www.facebook.com/newcorplogistic/,49,74 followers,local,1,,no,
Nord Cargo BV,https://www.nordcargo.com/,nothing mentioned on their website,nothing mentioned on their website,21/11/14,https://www.facebook.com/nordcargobv/,1500,592 followers,international,2,,,this company is a spanish  that has expendet also in the  netherlands
