,index,review_EN,sentiment,reviewer
30,80,Very good  company,,
31,81,"The compsny does what it suppose to do: trucking airfreight. Always there, day and nights, to support their professional customers.",,
32,82,Great place,,
33,83,Helpful staff,,
34,84,Super,,
35,85," Helped today by a super nice lady, who neatly unloaded our shipment in a residential area!

",,
36,86," Superb company it unloads very quickly thank you to you.

",,
37,87," I would eventually work here but I have never been treated so unprofessionally and disrespectfully. Not good communication at all!

I am very glad that I gave up and did not spend time on this company. A tip for you: kindness is free and not very difficult.

",,
38,88," Keep agreements and think along well!

",,
39,89," If you wait in front of the window for documents, then it is only better 1.5 hours from the moment of arrival to departure.

",,
40,90," The wait is long.. very busy.

",,
41,91," One star is too much! Lazy people looking for excuses not to do their job. If you have to upload to this location you must come with an available program.

",,
42,92," They are still too bad to tell you what to do, but the wait is hours and they are very unfriendly ... and not to mention the skills of their drivers

",,
43,93," A great office can be easily reached
Magazine also okay loading smoothly documents right away
I hope there are more such companies 😁😁

",,
44,94," Bos is a neat company. With clever stuff, it's just a shame that so much is broken. But the planning is very well organized. Toppie

",,
45,95," Good company can drive you well, nice people and very friendly. Always coffee and sanitary facilities.

",,
46,96," Very well

",,
47,97," Good communication!

",,
48,98," If you are looking for a nice job, check out their site

",,
49,99," A little slow in loading, but they are friendly people, you can have coffee, take a shower etc.

",,
50,100," This company is a bit lost ..... in short !

",,
51,101," They are still too lazy to talk when I had to work like this I stayed home

",,
52,102," Very fast, if you have to download, in less than an hour you are gone

",,
53,103," It was ok, the truck was loaded quickly.

",,
54,104," There is always good help. Nice staff

",,
55,105," Nice company to work nice colleagues

",,
56,106," No problem.vzdy quickly cleared

",,
57,107," For all your air freight

",,
58,108," Very fast uploads and downloads. Showers, free toilet.

",,
59,109," 1 hour to unload 1 pallet. Self transport company!

",,
60,110," Great company help well. Not specific to customers. Only drivers

",,
61,111," Here you can see beautiful planes landing and descending

",,
62,112," Amsterdam I didn't have time to visit the city I arrived at night I made my cut and the next day I took the road I didn't have time to visit the city until next time maybe

",,
63,113," Great forwarding agency, punctual and nice drivers

",,
64,114," Best employer ever!!

",,
65,115," Was equally enjoyable.

",,
66,116," Takes way too long

",,
67,117," Works GJ.plakmeijer
Needed the car

",,
68,118," Because I work there

",,
69,119,💢💞❤💫,,
70,120," Chaos, no structure

",,
71,121," Not as bad as in Germany

",,
72,122," Dear .... ✔

",,
73,123," Good freight handler

",,
74,124," great view

",,
75,125," Car parking only

",,
76,126," My job

",,
77,127," They take a long time to load

",,
78,128," very professional

",,
79,129," →

",,
80,130," Very operational

",,
81,131," Good

",,
82,132," Client

",,
83,133," Good

",,
84,134," Fast ...

",,
85,135," Professionals

",,
86,257,"Not only did the delivery driver showed up unannounced at our house without a call beforehand to arrange an appointment (as was clearly indicated in the email we received from bol.com), he was also absolutely unfriendly and unprofessional.
My wife couldn't open the door the first time he rang because she was in the middle of breastfeeding. So the driver called me (to my surprise since, again, this was completely unannounced), and I let him know that my wife was home (though I didn't know she was unable to open).
He then unloaded the palette and rolled it to our door, rang again, and was about to just leave it there when my wife was finally able to open the door. She tried to explain the situation but he was just absolutely unfriendly to her.
Absolutely unprofessional.",,
87,258," Very dissatisfied.
If something is good, I like to put it on a review.
If something is bad, unfortunately also.
An estimated delivery time would appear on the website after 9am on the day of delivery.
Didn't happen.
After an hour of waiting, I tried to contact them by phone.
That turned out to be absolutely impossible.
Then I sought contact online: also an unworkable channel.
Dozens of phone calls later (finally around noon) I got in by phone. An employee there said that delivery would be made between 2 pm and 4 pm.
Less than fifteen minutes later it turned out that the transport had been postponed due to no driver available.
This cost me my entire last available vacation day of the year that I had left (and lost > €900 in consultancy income...).
Communication: 0.0.
Accessibility: 0.0.
Customer service: 0.0.
Once, but never again...

",,
88,259," I agree with the other positive reviews about a Betersport delivery. I was very afraid that we would have to carry the crosstrainer up ourselves (we were already prepared for it), but the driver asked me if he should help me and helped me to take it up a narrow stairwell to the 3rd floor. Thank you very much and a compliment to this driver from Allroad! However, it seems like a lottery whether you get a helpful driver or not, so hope Allroad recognize the drivers who do help you too!

",,
89,260," Super transport company. Had a very nice driver who helped me to put my heavy recovery shipment as far as possible in the final place. With a lot of respect and decency he helped me and came up with ideas to really put the package as close to the spot as possible. Please hire more such drivers so that more customers are served properly.

",,
90,261," Today the treadmill was delivered from Betersport. What a whopper and 78 kilos!
I stood there alone ...
I had a super delivery from Allroad. Together with my neighbor, he brought the colossus upstairs. Our front doors can only be reached via a stone staircase on the road and the delivery person could of course not just put it on the public road .....
I am very happy :-)

",,
91,262," The worst transport company ever seen!!! Their delivery time is not correct at all. Do not communicate that they are not coming. Give a 2nd date which is also incorrect. When will the delivery come....... I could cancel my delivery because the product was no longer good to use. Do you see on the front edge that your delivery is done by them... cancel it already... you will be bezeiked right in front of you.

",,
92,263," BAD !! Ordered a spinning bike (40kg) has to lift that thing to 1 high on my own. Which is not possible. Called customer service but they indicated it's in the fine print of the terms and conditions really feel misguided. Have ordered heavier products before and these were always neatly lifted up by the deliverers. Bad action by the Albert Heijn to link itself to a bad delivery service.

",,
93,264," Largest *** company in existence. Delivery had to be delivered at home as this incompetent company does not cooperate with delivery points. After my package from the supplier ended up in their depot in Eindhoven via Allroad Logistics about 30 km from my hometown (across the border), they found it interesting to send my parcel to Melle (East Flanders and 150 km further) so that it can then be delivered to Belgium. could be delivered. In addition, there will be no communication to you (would have preferred to pick it up in Eindhoven yourself), if you already call you will be lied to that someone has stopped by and left a note in the letterbox, which was not the case. now I have been able to wait 2 days at home for a ***** service to be lied to by phone. Very sad company this.

",,
94,265," Great service. Today, as agreed, my spinning bike was delivered. Very nice driver who helped me to get this heavy package up and inside the stairs. I am very satisfied with the service of Allroad logistics. Also easily accessible by phone to make an appointment.

",,
95,266," What a worthless company!
Delivery driver will deliver a crosstrainer of 51 kg. I live 5 high with an elevator. My son was at home and asks: can you bring it up? No, is the answer. But it is a heavy package. That's not my problem was the answer.
My son down. Is that man standing there with the package on a sack truck. Asked again if he would like to bring it up because it is impossible to lift / slide that heavy thing on your uppie. No, he doesn't start there. He slides it off his cart and sort it out.
What a rude company.
Called and the company thinks it's normal.
What horks!

",,
96,267," Allroad logistics puts a 74 KG box, containing a brand new cross trainer, in front of the front door and refuses to bring the box in. According to the driver / delivery person, they should never be allowed to enter ?! In response to my complaint: ""To prevent damage in the house, all orders are delivered at the door""
A package of 74 kg on the sidewalk?
BAD SERVICE!

",,
97,268," Wow what a BAD service. They send an email with track & trace that the delivery is on Wednesday (a very heavy cross trainer) so I arrange that I will be home on WEDNESDAY. Then I find out that they DELIVERED the order unannounced on Tuesday, with our downstairs neighbors on floor 2.
We live on floor 3. What do you think? That thing is 2 high. I myself cannot lift that thing to the 3rd floor, but do you think that those delivery people are interested? No they left that thing TASTY. Who will find out? So I took everything apart and lugged it up 20 times.

What good is an email with track & trace if they don't mess with it and why would you still order online if you are still lugging.

",,
98,269," Good experience with treadmill delivery. Driver asked for help (heavy box), after putting on his mouth mask, I went to help him. Was on time and all communication about the delivery was ok. 3 stars because I can expect from the company that they can carry out heavy deliveries themselves with two or at least use a pallet to deliver to the door.

",,
99,270," An important characteristic of a transporter must be that they are reliable. That is not this company at all. Several times appointments are not kept, so I have the people, but not the stuff. Bad company, discourage! See photo, it was not delivered that day at 8 pm, but delivered the next day at 9 am, without further consultation.

",,
100,271," Package to be delivered was placed in driveway where it was accessible to everyone. This without any consultation, luckily I came home that day when it was still light and saw it. Track and trace mail turned out to be in junk mail, so did not know that the package would be delivered.

",,
101,272," Took the day off because an order would come through Betersport.
Didn't see anyone all day.

",,
102,273," Just saw 2 of their drivers overloaded here, the packages literally flew into one car from the other and the packages that did not make it were kicked further 😱

",,
103,274," Very good service , friendly driver .
Delivered by Mert logistics is a must!

",,
104,275," Order taken well. The only problem was that I also bought a treadmill lubricating oil and it came without a lid. How can I use it ??

",,
105,276," What an incredibly rude company that you guys still exist at all. When I meet such a rude delivery boy again, he has a big problem with his big mouth and arrogant attitude

",,
106,277," What a horrible company !! Track and trace is incorrect. Sat at home all day and package did not arrive. I'll call then .. oh we'll come next week. Bahbah

",,
107,278," I regularly drive for allroad, always fun at allroad, I like to drive for that, nice company to work.👍👍👍👍👍 my new clubhouse 😄😂😄😂

",,
108,279," Finally a company that knows what service is all about! well deserved 5 stars

",,
109,280," Worthless. Do not keep agreements, customer unfriendly

",,
110,281," Helped very well, brought in with a pump truck

",,
111,282," To transport something

",,
112,283," Good business.

",,
113,296,Excellent company with professional standard and professional Behaviour,,
114,297,One of the most excellent Logistics company in Netherlands,,
115,298,Very good,,
116,299,Super service,,
117,300," Do not print on the CMR

",,
118,301," 4 stars for the lack of parking for cars waiting, the loading was quick, and the staff can easily get along in English

",,
119,302," Fast loading

",,
120,303," Work

",,
121,320," Responded to antisocial.
Owner is not helpful. for a small question of 2 minutes had a discussion of 2 days. I have been offended by the owner. Don't take coffee is super bad. And especially no coffee milk has expired for almost 10 years. And corona measures ho but lower than a star I can complete you and your company

",,
122,321," Top service. Personal contact, proactive thinking and even got a lower price proposal when it turned out that they could plan the ride more efficiently. Very satisfied.

",,
123,322," Nice guys, last minute transport needed for a few pallets and able to arrange immediately. Entirely right.

",,
124,326," One star is too many. Waiting time for loading 4-6 hours and then another 2 hours for loading. Run as far as possible

",,
125,327," Friendly and smooth service.

",,
126,328," They even have coffee and tea.

",,
127,334,"Nice people . Fast loading ,( well atleast for me this time) but kind people",,
128,335,Good and reliable transport company,,
129,336,Ok,,
130,337,Ok,,
131,338,Top Personal.,,
132,339," I confirm my previous speakers quick loading 😉 you come to the office, you give the loading number, you write the loading number on the card, the truck and trailer numbers, and from which company you are, then the lady, I give you a letter with the dock number written out by you, you go for loading there, you give this card, you will load and with this card you go to the office, then pick up your documents and drive home 😉👍😁

",,
133,340," Fast loading friendly staff, there is a shower, toilet everything is clean. Good tasty coffee (free of charge). I liked it.

",,
134,341," Europe should learn from the Dutch. Always spotless.

",,
135,342," Shower, toilet, free coffee, parking (not allowed at night) fast unloading. There is nowhere to stand near the company.

",,
136,343," Quick unloading, shower, toilets, coffee, more respect for the company

",,
137,344," Easy to reach, pleasant employees at the office who calmly explain to you

",,
138,345," Good service and very fast

",,
139,346," Very nice staff to deal with. And it has a structure for the driver, with shower.

",,
140,347," Pleasant reception, quickly helped.

",,
141,348," Kaixo, I must have touched the national day of San Borde, a hesitant in the office and a slow and deaf staff on the dock. If I don't come back better.

",,
142,349," Super company very flexible if you ask at a different address or between a certain time they always meet. Nice to work with.
Friendly on the phone too. Team Light Collection

",,
143,350," Quickly and efficiently without any problems

",,
144,351," Smooth and friendly help with loading, loading docks available.

",,
145,352," very nice friendly staff, have free coffee and shower I took a 9 hour break to load

",,
146,353," Unloaded quickly
The building has a toilet and shower

",,
147,354," He could arrive and not have the whole load ready and have to wait a good time or even take 9 hours break.

",,
148,355," Logistics company, lets you sleep on the ramp, toilet, shower, kafe for free.

",,
149,356," Fast loading

",,
150,357," Top report, get papers and go 30 min

",,
151,358," Has showers and free coffee for free coffees friendly treatment good place 🙂

",,
152,359," Reliable and nice party to work with.

",,
153,360," They charge super fast

",,
154,361," good company and welcoming to drivers

",,
155,362," Nice sweer

",,
156,363," Unloading quickly efficiently, without problems. Toilet and shower clean.

",,
157,364," Very well. I love Nederland!!!

",,
158,365," Fast Loading, good staff.

",,
159,366," Nothing wrong with that, friendly and fast

",,
160,367," Competent and only staff. More such unloads and downloads

",,
161,368," Fast adequate operation👍👍👍👍👍

",,
162,369," Good logistics company has already changed site problems

",,
163,370," Fast loading

",,
164,371," Fast friendly professionals !!!

",,
165,372," Good conditions for drivers

",,
166,373," Conditions for impeccable drivers

",,
167,374," very effective

",,
168,375," Professional carrier

",,
169,376," Is a good transport company

",,
170,377," Nice address

",,
171,378," Client

",,
172,379," Fast handling, 👍👍👍👍👍

",,
173,380," Good drivers

",,
174,381," Rapid!!!

",,
175,449,Top service,,
176,450," Great service! Become my new regular carrier

",,
177,451," Good service!

",,
178,463,"This place needs attention of the authorities.

I genuinely do not recommend this company in any way possible. GVT is an amazing example of a horrible workplace in Netherlands. Employees are exploited in a grand scheme. The larger warehouse is doable, but still highly unprofessional and a very hazardous ""workplace"". Employees recieve zero education and work in dirty, very poorly maintained and culture lacking workplace. There is aswell another warehouse on other side, which is pure and absolute hell. Employees driving without certifications on vehicles illegally, driving seriously dangerously, without safety belts, without any work related safety equipment, some don't even have safety shoes, don't have any prior education and often don't even speak English or dutch, are incapable of mature communication and don't have understanding of standard warehouse practices. All under supervision of a teamleader and their aprooval. GVT is a front page example of what business in Netherlands should NOT be. Bad taste in employees. Lack of any teambuilding. Complete abolition of safety ( absolute zero ). Employees driving outside at night without their lights on. Forklift full speed, forks 1.5 meters high. Serious malpractice. Please investigate this. Warehouse in Budel was closed because GVT completely abandoned any form of infrastructure inside and refresco literally tossed them out of partnership due to their irresponsibility.",,
179,464,"Hi the warehouse manager Jule not a nice person he is lied for not receiving email from H&M I talked the girl in H&M and she’s telling me she’s send the mail a couple of time. And the guy  he said he doesn’t receive any emails. The warehouse manager doesn’t like the people who speaks English he is a Ruthless guy I hope karma get him soon.

Ps. I’m waiting with passion 19hrs to unloading  13 pallets. And I waiting3 extra day with Passion in the gastation on the weekend  to. I don’t have any choice. Because your coworkers don’t do his job.  I can spend this 3 days with my family to.",,
180,465,Driver not friendly with emergency cars such as ambulance while driving in Luxembourg! NOT GOOD! 👎,,
181,466,The coworkers from Jan's team did not treat me well.,,
182,467,"No communication and care for the final customer, even when calling to their customer service. Arrived late.",,
183,468,very nice,,
184,469,Wonderful,,
185,470,Good job,,
186,471,Good,,
187,472,Personal ok.,,
188,473,3 letters,,
189,474,Drama,,
190,475,Nice,,
191,476,Top,,
192,477,Super,,
193,478," Very fast loading if you are on time. Checking the exact streets in the order because in this GTV zone for its 3 warehouses and an office building. Generally nice, fast and pleasant lady in the office.

",,
194,479," Attention. They tell you to load pallets with drinks yourself. The drinks are stacked 7 layers up, there are no spacers between the layers. During the route, the bottom layer falls under pressure and the pallet tilts. At the unloading in Denmark, they refused to unload us and a problem arose. Of course who is to blame?

",,
195,480," 3 stars for waiting for loading.
Parking at the entrance
5 places.
Further, he office is to the left of the main entrance.
there are pointers
Next, you need a reference, it starts from 11 .......
fill out the form
give a card for entry
and the ramp number is written
we go park, docks, in principle, and wait in the car
Tross seal
then again to the parking lot, to the office
they give their documents and cmr.
Toilet
Free coffee.

",,
196,481," Polite staff, especially thanks to the lady from the office !!! Fast loading. You are a great team !!!

",,
197,482," From the girl at the counter to the men at the warehouse, everything is great. Come here regularly and always leave quickly.

",,
198,483," calling is a disaster is rarely answered. Asked a question via customer form never heard anything back.

",,
199,484," Loading quickly, toilet on site, and you can have a good cup of coffee for free 😉

",,
200,485," As an employee, they order to drive old equipment for pennies 11.68 euros, and for this, manual unloading of containers for free, and I would forget you are doing foliar machines, even though they are still not used,

However, an investor who likes delays can invest in this company because they are always,

",,
201,486," Do something about it because you can't register with you !!! I waited 2 hours for check in !! Failure

",,
202,487," What a crazy saying almost killed us on the highway last night at hazeldonk

",,
203,488," Nice woman at the reception, loaded quickly!

",,
204,489," Poor company in connection with communication in the transport department.
And not only that but dealing with staff very and very poorly So definitely not recommended to work here !!!

",,
205,490," Very good firm load fast there is parking free coffee. Only the loading is not at the central entrance, drive a little and to the left 100 meters on the left side.

",,
206,491," Usually crowded.
Very professional staff

",,
207,492," Just received a pallet with unwieldy items, the driver helped me neatly with bringing it in, all credit. I've often experienced it differently.

",,
208,493," A bit lackluster GVT Transport to remove the reviews on the FB page if it is not to your liking.
So just one more time here.
GVT steals from its staff: hours and days of breaks, and in any case in Alkmaar only hires staff through a temporary contract.
I worked very well there with colleagues at night, but the policy is not right at all.

",,
209,494," It's ok, quickly removed, the fact that only 10 pallets, a parking lot for several trucks is small for such a large company

",,
210,495," ruk company where you can work fine as an Eastern blocker without a life. recruiters don't even know what kind of work they offer (they can't post vacancies either because more than 75% of information is missing in all those advertisements) and many former employees indicate that they have been exploited ... in short, if you are Dutch, don't work for this company.

",,
211,496," Satisfied from the parking lot to the ghost, the paperwork is done right away. It can't get any better, great. As far as I know foreign languages ​​and you don't need anything.

",,
212,497," GVT regularly required for long loads,
This morning the delivery person called to ask if he could come earlier than planned. When I indicated that I was on location with 10 minutes, he waited neatly, unlike other companies that think they close the door to the next one!
Compliments to the delivery person!

",,
213,498," Good logistics, your own parking near the company, you stop at the parking lot with a sign on where to go to the drivers, fill out a sheet with the data, give it to a very nice and friendly woman out the window, get papers and a map for the gate, when you approach the ramp you put papers in the trailer, loading is fast, then parking, documents, and exit. + Coffee door on the right where the dispatcher is sitting)

",,
214,499," Can only indicate that they come here regularly to pick up shipments (pallets) and that it is always done in a correct and careful manner. Since we have a good experience with Helder Transport, they call in GVT for this, keep it up!

",,
215,500," A company that says it can do anything for others,
but is not a good employer for personnel.
They assume more they can handle,
and then have to pull out all the stops.
Within the company, it is normal for drivers to be banned by planning and other employees, and if you report this, they do nothing with it.

in short, Passion for logistics?
You mean passion for big money, and this on the back of employees.

",,
216,501," We had to pick up a pallet, went fast and good!🙂

",,
217,502," Friendly, and customer oriented, perhaps a better idea to mention if you pick up something at the counter where you need to be otherwise everything okay

",,
218,503," I spent 4 hours loading 16 pallets.

",,
219,504," Loaded quickly, I liked everything, there is free coffee)))), many thanks to the staff for the good attitude.

",,
220,505," Loading at 14.00 started loading at 19.00
Nobody cares about your time tacho...
They justify that this is your problem ...

",,
221,506," Top Employer!!! Great Team!!!
Top People with a Passion for Transport & Logistics work there!!!

",,
222,507," Lots of magazines. At Rheastraat 3 theoretically different company but there the loading took place. Small office, loading, but with a break and waiting, it's working.

",,
223,508," Free coffee drinks and nice and quick staff, you'll want to come back

",,
224,509," My husband works for the BTT

",,
225,510," Very nice people, and it loads super fast

",,
226,511," This company willfully send trucks that are too high into the Wijkertunnel. This causes a 4 lane wide file of 15 kilometers long. Company with complete shit to society, fellow road users and infrastructure.

",,
227,512," Driven for several times. Not a wrong address and they pay nicely.

",,
228,513," Volvo VNL is the best !!!

",,
229,514," Respectful company with truckers and fast loading that for truckers comes in handy

",,
230,515," Many compatriots work, friendly service and fast loading and unloading

",,
231,516," It doesn’t turn out to be good, you don’t keep fixed terms

",,
232,517," Under the company you can stand no toilet for drivers when closed

",,
233,518," There is a clean toilet, they are the ones who carry the load, we don't watch the load, they don't take too long.

",,
234,519," All praise, good organization, friendly staff, and the approach within the company and to the ramps is excellent.

",,
235,520," This is how logistics should work, for me as a truck driver, complete satisfaction, speed, cooperation, best of logistics..😉

",,
236,521," Reliable company at the right costs. Relieves worries in the field of warehousing and logistics. Delivery on time and with the right documentation. Top company

",,
237,522," Lux

",,
238,523," Excellent firm, fast shipping, friendly staff!

",,
239,524," Waiting for loading 3 hours, but no toilet. Wretched office.

",,
240,525," Fast work of employees, nice bonus - free coffee.

",,
241,526," Personalized service ... Good conditions for drivers.

",,
242,527," Came to unload, gave a ramp and forgot about me

",,
243,528," no professional handling of the goods made.
case with license plate 60-BGT-4

",,
244,529," Nice company, beautiful location.

",,
245,530," do not work here worst company in Tilburg!

",,
246,531," Good logistics for drivers who have to carry everything here fast

",,
247,532," Very good and quickly helped Brabant geniality top

",,
248,533," Ha there is no such truck

",,
249,534," Everything is fast. Toilet, coffee for free.

",,
250,535," Fast loading !! Friendly staff !! ..

",,
251,536," Large well organized company. Many branches.

",,
252,537," Good service and fast loading and unloading

",,
253,538," There is a nice big truck parking.

",,
254,539," very fast loaded top

",,
255,540," Nice company.

",,
256,541," Separate company but I work there as an employment agency

",,
257,542," Fine. Efficiently operating company

",,
258,543," Smooth and friendly help with unloading, loading docks available.

",,
259,544," Quickly and efficiently. Nice service

",,
260,545," Neat company!

",,
261,546," My job

",,
262,547," super nice workplace

",,
263,548," Been yesterday and helped nicely

",,
264,549,😄,,
265,550," Good firm 🙂👍

",,
266,551," Quickly discharged and without problem

",,
267,552," No comments, just work !!!

",,
268,553," Fast

",,
269,554," very well organized

",,
270,555," Fast, clear

",,
271,556," Great, free coffee

",,
272,557," None better

",,
273,558," They load quickly

",,
274,559," Helped well and smoothly

",,
275,560," just company,

",,
276,561," excellent

",,
277,562," Lots of good logistics

",,
278,564,👍,,
279,565," → pitch pitch

",,
280,566," Good and solid transport company

",,
281,569," Me

",,
282,570," A large logistics company

",,
283,571," Good loading address

",,
284,572," Too big bureaucracy

",,
285,573," Fast

",,
286,574," Work here.

",,
287,575," Correct workplace.

",,
288,576," Good

",,
289,577," Good business

",,
290,578," Professional club 👍

",,
291,579," Quickly and efficiently

",,
292,580," I work here

",,
293,581," great company

",,
294,582," Traaaaaaaaggggggghhhhhh

",,
295,785,The have wc and shower for drivers wich is not the same case in other locations.,,
296,786,Ok,,
297,787,Super,,
298,788,Quite good..hard work!,,
299,789,Nice!,,
300,790,I'm work here!!,,
301,791,Ok.,,
302,792,Mac clean,,
303,793," Well, they had to pick up a small package. Unfortunately, their understanding of times is not in order. We come between 9am and 5pm. This is very unprofessional. Too spacious too vague , not exactly for a logistics company .

",,
304,794," Quick unloading and a toilet for the driver. To complete happiness, the only thing missing is a coffee machine.

",,
305,795," Fast loading is the toilet and shower hot water

",,
306,796," Pleasant, cultured and polite staff. Parking, toilet - nice and clean. A great example for other firms. Thanks for the positive leadership!

",,
307,797," Had a job interview. Already a very good and welcome feeling.
No solution yet, so don't know what it's like to work there. But until now; great experience!

",,
308,798," A whole car loaded in 20 minutes, other companies can follow an example.

",,
309,799," Loaded quickly, everything is fine!

",,
310,800," Hardworking people in a great location

",,
311,801," In any case, a nice address for loading or unloading ... Unlike most other large companies, you are usually quickly loaded / unloaded here ... Top company!

",,
312,802," Worthless on maps is open 24 hours, loading and unloading is between 09:00 and 18:00

",,
313,803," Fast service

",,
314,804," For 5 pallets to unload I waited 1:30

",,
315,805," Had a very good conversation

",,
316,806," Cool. Free and clean shower and toilet for drivers.

",,
317,807," Friendly people and smooth handling of goods

",,
318,808," I recommend very fast loading 👍👍👍👍

",,
319,809," Fast charge
Shower
coffee
Parking

",,
320,810," Nice people, however, take a long time to charge.

",,
321,811," Fast handling, correct company👌👌👌👌👌

",,
322,812," Fast and pleasant

",,
323,813," Great, simple, toilet, shower

",,
324,814," Top company

",,
325,815," Always fast

",,
326,816," Service top quality !!!

",,
327,817," Haytech company!

",,
328,818," Pro logistics company

",,
329,819," Good company logistics

",,
330,897,"The only people that like to smile at this place are those with dutch leadership. Internetional teams are never happy ,or bright. A lot of arrogance towards the new recruitment under International leadership. You need to use EPT-no access,you need a scanner-no profile,you need to use a knife-security steals yours and nobody provides you with one that work. You need to pick up high item,they ducktape it with his next huge box from behind and place it up for you. You ask for help - they are trying to hide from you,or make sad/angry faces and try to put you away. Not only noone says anything positive under International leadership,but also can warn you that you may have a lot of enemies on your second day of work. You need to speak to someone important ,walking is minimum 10minutes combined to and from your locker with the exiting procedures with the security also takes time and sometime you have to wait on a line.When on a break most of your time when you need your phone goes walking,or security check. Parking for workers as far as possible from the building,so you walk more and waste time more to get to and from your car. Bicycles are parked under the rain. It is very clean and good renewed place.",,
331,898,Regular delivery pleasant multi lingual staff and free toilets shower and coffee machine,,
332,899,"Free coffee, shower .",,
333,900,"Warehouse, hard to work there.. Solaris not that big and safety is questionable .

Pallets with beer are on top level instead if having it low, very dangerous for people working there",,
334,901,Fast loading and as it's a Kawasaki dealer even better,,
335,902,"If you gonna work her you gonna feel like a robot, else the outside is just a big gray square",,
336,903,As a trucker I don't comment I only rate based on my personal experience.,,
337,904,Good place to work. Best place is inbound,,
338,905,They are really professional in logistics!,,
339,906,Work there is lost time,,
340,907,Ok,,
341,908,Top!,,
342,909,Ok,,
343,910,Ok,,
344,911,Good,,
345,912," They don’t let me in before, a maximum of an hour and I had to stand behind the barrier. When loading, wait in the driver's room where there is a free shower, coffee and toilet. The staff is pleasant.

",,
346,913," At the entrance there is a parking lot for three cars; at registration you need a passport and a reference number. Downloaded in three hours. The office already has a good shower on site, coffee is paid for. Loading only from the rear, from the ramp. The staff are friendly. 👍🏻

",,
347,914," Registration at the gate ... you get a card and which building you go to ... English-speaking staff ... nice people.. fast charging ... toilet.. free coffee ... when leaving, leave the card in a specially arranged place.. .

",,
348,915," Loading and unloading is very fast, Poles work in the third office, nice people, waiting in the driver's room, shower, toilet, coffee. Five Stars. 👍👍👍

",,
349,916," Unloading address that does not make people happy.
No dutch speaking staff, which doesn't seem motivated.

",,
350,917," Sad company long waiting times and unclear why it has to take so long.

",,
351,918," Everything is standard, at registration you need a ref number, passport, adr shoes, vest. They are not allowed to wait in the car, a separate room. Toilet, shower. Friendly staff.

",,
352,919," Employees are irresponsible, irrelevant and drivers who come there are kept waiting for hours even for registration without any reason, it doesn't suit a company, I don't like it

",,
353,920," A very good place when it comes to work, positive, helpful people ..

",,
354,921," It is almost better to apply for benefits at the municipality than to work for ID logistics. Hunger wage of 9.17 euros per hour, for them you are nothing more than a wage slave who has to work very hard to be scheduled every week. The fact that they occasionally treat people to warm apple flaps is not to keep the herd in check. My mate has a family and they only schedule him for one day. What should he do with 80 euros a week, that's not even the groceries. Now works as an operator at Coca Cola and almost gets double.

They help people in the destruction. Nobody wants to work there anymore, only the robots / Poles without a future.

",,
355,922," Loaded in principle quickly. But before entering, you must have a reference download number. Coffee for 0.20 cents in vending machines but you only need to pay by card does not accept cash :(

",,
