,name,type_company,lat,lon,city,avg_stars_num,n_reviews_num,encoded_user,local_guide,clean_other_review_num,published_date,today_date,stars_num,review_EN,original_lang
24,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,8YZn%,1.0,9.0,3 years ago,2022-09-24,5.0,,
25,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,Zc8Az,1.0,76.0,a year ago,2022-09-24,5.0,,
26,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,A)dME,,,a year ago,2022-09-24,5.0,,
27,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,PoqZN,0.0,5.0,5 months ago,2022-09-24,5.0,,
28,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,VWA6s,0.0,21.0,a year ago,2022-09-24,5.0,,
29,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,fh5V!,0.0,7.0,a year ago,2022-09-24,5.0,,
30,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,@Cu7e,0.0,10.0,5 days ago,2022-09-24,5.0,,
31,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,d81!O,0.0,1.0,a year ago,2022-09-24,5.0,,
32,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,EZ!ky,0.0,2.0,a year ago,2022-09-24,5.0,,
33,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,kcfal,0.0,8.0,a year ago,2022-09-24,5.0,,
34,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,OPLri,1.0,1.0,3 years ago,2022-09-24,3.0,,
35,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,RpuOP,1.0,44.0,3 years ago,2022-09-24,5.0,,
36,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,NIl*X,1.0,16.0,2 years ago,2022-09-24,5.0,,
37,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,P7ia*,,,4 years ago,2022-09-24,5.0,,
38,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,v$2zv,1.0,7.0,a year ago,2022-09-24,5.0,,
39,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,za6!e,0.0,4.0,a year ago,2022-09-24,5.0,,
40,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,ICETj,0.0,6.0,2 years ago,2022-09-24,5.0,,
41,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,!GtF6,1.0,28.0,4 years ago,2022-09-24,3.0,,
42,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,^8$wb,1.0,2.0,a year ago,2022-09-24,5.0,,
43,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,q1WMW,,,3 years ago,2022-09-24,5.0,,
44,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,6wmNf,1.0,151.0,a year ago,2022-09-24,5.0,,
45,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,RBXD&,,,a year ago,2022-09-24,5.0,,
46,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,&xK35,0.0,8.0,a month ago,2022-09-24,5.0,,
47,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,1KbpI,1.0,45.0,2 years ago,2022-09-24,3.0,,
48,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,lB$GH,0.0,28.0,7 months ago,2022-09-24,5.0,,
49,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,dR$jz,1.0,2.0,4 years ago,2022-09-24,5.0,,
50,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,EteII,1.0,8.0,4 years ago,2022-09-24,5.0,,
51,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,%apiV,,,8 months ago,2022-09-24,4.0,,
52,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,4djza,1.0,87.0,5 months ago,2022-09-24,5.0,,
53,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,ecV!Q,0.0,6.0,5 years ago,2022-09-24,5.0,,
54,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,H3D5K,0.0,3.0,a year ago,2022-09-24,4.0,,
55,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,jG0q@,1.0,53.0,a year ago,2022-09-24,4.0,,
56,Cotra Logistics Solutions BV,Logistics service,51.6665838,4.6844117,Hoek,4.0,2.0,)lpCZ,1.0,11.0,4 years ago,2022-09-24,3.0,,
57,Cotra Logistics Solutions BV,Logistics service,51.6665838,4.6844117,Hoek,4.0,2.0,QPYT(,,,5 years ago,2022-09-24,5.0,,
58,Leeuw Shipping & Logistics G de,Freight forwarding service,51.865728,4.609845,Ridderkerk,,,,,,,,,,
59,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,(9hwX,0.0,2.0,a year ago,2022-09-24,5.0,"DLS is a professional company with Dedication to their profession. Competitive prices, fast deliveries and very fast replies on communication. If there was a rating higher than 5 starts they would defenitely deserve it!
Review based on customer point of view.",ENG
60,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,6I9Si,0.0,3.0,a year ago,2022-09-24,1.0," A driver has damaged my car, but unfortunately DLS does not give home. I called this company and indicated exactly from which truck something fell off my car. It can happen that something jumps up from the asphalt, but that would not have happened in that case. I was driving next to the truck and not behind it. An elongated object (a kind of dry-tractor) falls from the truck onto my car, resulting in a dent. The only way to hold this company accountable is with the help of a dashcam.

",NOT_ENG
61,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,BBMqg,0.0,6.0,a year ago,2022-09-24,5.0," Very nice transport company. Always easily accessible, keep appointments, think in solutions and employ drivers who are happy to go the extra mile if necessary.

",NOT_ENG
62,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,ME$$a,0.0,1.0,a year ago,2022-09-24,5.0," this is really a company where you can grow your own business, perfect timing, always available, and always have a solution.

",NOT_ENG
63,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,!tjj0,0.0,1.0,a year ago,2022-09-24,5.0," Super Service, especially thinking along with solutions for transport!
in a word 'SUPER'

",NOT_ENG
64,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,B1HxO,0.0,17.0,2 years ago,2022-09-24,5.0," A small company, but very friendly 😀

",NOT_ENG
65,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,Lp9MR,,,5 months ago,2022-09-24,1.0,,
66,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,!WicI,1.0,115.0,3 years ago,2022-09-24,4.0,,
67,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,PKXWc,1.0,19.0,11 months ago,2022-09-24,5.0,,
68,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,xhm$u,0.0,1.0,2 years ago,2022-09-24,5.0,,
69,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,xU*sF,,,a year ago,2022-09-24,5.0,,
70,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,CmvzE,1.0,64.0,4 years ago,2022-09-24,5.0,,
71,Dedicated Logistics Services,Trucking company,51.1795381,5.8348085,Ittervoort,4.3,13.0,WHO7a,0.0,17.0,a year ago,2022-09-24,5.0,,
72,Schenker Logistics Nederland,Logistics service,51.5307778,5.0484592,Tilburg,4.5,2.0,!on7Z,0.0,13.0,2 years ago,2022-09-23,4.0,,
73,Schenker Logistics Nederland,Logistics service,51.5307778,5.0484592,Tilburg,4.5,2.0,%JB9$,0.0,7.0,4 years ago,2022-09-23,5.0,,
74,Milloa Logistics,Trucking company,51.9623864,4.5847851,IJssel,,,,,,,,,,
75,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,tei&4,1.0,350.0,a month ago,2022-09-22,4.0,I appreciate the clear and efficient on work!,ENG
76,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,xPOub,1.0,123.0,3 years ago,2022-09-22,5.0,Easy to deal with company...fast loading and unlouding...if the stuff it's ready...toilet shower...no parking space to do long brake...all good..,ENG
77,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,xmdfV,1.0,29.0,a year ago,2022-09-22,4.0,Problem is waiting loading but stuff is very friendly,ENG
78,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,mYixn,1.0,20.0,3 years ago,2022-09-22,5.0,Fast and nice people s,ENG
79,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,#CjIb,1.0,313.0,2 years ago,2022-09-22,4.0,"Collection of airfreigt, quick and smart",ENG
80,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,Sbyro,1.0,10.0,4 years ago,2022-09-22,5.0,Very good  company,ENG
81,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,cd7P&,1.0,36.0,2 years ago,2022-09-22,5.0,"The compsny does what it suppose to do: trucking airfreight. Always there, day and nights, to support their professional customers.",ENG
82,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,5PJZ#,0.0,10.0,3 years ago,2022-09-22,4.0,Great place,ENG
83,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,L!K0B,1.0,201.0,a year ago,2022-09-22,5.0,Helpful staff,ENG
84,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,McysP,0.0,112.0,9 months ago,2022-09-22,5.0,Super,ENG
85,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,Q73LK,0.0,1.0,5 months ago,2022-09-22,5.0," Helped today by a super nice lady, who neatly unloaded our shipment in a residential area!

",NOT_ENG
86,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,cPKw!,1.0,225.0,2 months ago,2022-09-22,5.0," Superb company it unloads very quickly thank you to you.

",NOT_ENG
87,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,c5e4F,0.0,3.0,9 months ago,2022-09-22,1.0," I would eventually work here but I have never been treated so unprofessionally and disrespectfully. Not good communication at all!

I am very glad that I gave up and did not spend time on this company. A tip for you: kindness is free and not very difficult.

",NOT_ENG
88,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,sN%Q3,0.0,14.0,3 months ago,2022-09-22,5.0," Keep agreements and think along well!

",NOT_ENG
89,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,hEjaa,1.0,51.0,8 months ago,2022-09-22,4.0," If you wait in front of the window for documents, then it is only better 1.5 hours from the moment of arrival to departure.

",NOT_ENG
90,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,tqUYW,1.0,53.0,2 months ago,2022-09-22,3.0," The wait is long.. very busy.

",NOT_ENG
91,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,eUApI,0.0,1.0,a year ago,2022-09-22,1.0," One star is too much! Lazy people looking for excuses not to do their job. If you have to upload to this location you must come with an available program.

",NOT_ENG
92,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,OYZ%c,1.0,143.0,a year ago,2022-09-22,1.0," They are still too bad to tell you what to do, but the wait is hours and they are very unfriendly ... and not to mention the skills of their drivers

",NOT_ENG
93,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,dcr2F,0.0,3.0,a year ago,2022-09-22,5.0," A great office can be easily reached
Magazine also okay loading smoothly documents right away
I hope there are more such companies 😁😁

",NOT_ENG
94,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,RNKfl,1.0,336.0,4 months ago,2022-09-22,5.0," Bos is a neat company. With clever stuff, it's just a shame that so much is broken. But the planning is very well organized. Toppie

",NOT_ENG
95,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,p0#g3,0.0,4.0,a year ago,2022-09-22,5.0," Good company can drive you well, nice people and very friendly. Always coffee and sanitary facilities.

",NOT_ENG
96,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,OIy1#,1.0,68.0,4 months ago,2022-09-22,4.0," Very well

",NOT_ENG
97,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,%ivN),0.0,7.0,a month ago,2022-09-22,5.0," Good communication!

",NOT_ENG
98,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,J2ylg,1.0,90.0,4 years ago,2022-09-22,3.0," If you are looking for a nice job, check out their site

",NOT_ENG
99,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,VOq5D,0.0,22.0,a year ago,2022-09-22,3.0," A little slow in loading, but they are friendly people, you can have coffee, take a shower etc.

",NOT_ENG
100,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,Q5J@a,0.0,1.0,a year ago,2022-09-22,1.0," This company is a bit lost ..... in short !

",NOT_ENG
101,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,$hRr^,1.0,18.0,a year ago,2022-09-22,1.0," They are still too lazy to talk when I had to work like this I stayed home

",NOT_ENG
102,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,Ye5zj,1.0,27.0,3 years ago,2022-09-22,5.0," Very fast, if you have to download, in less than an hour you are gone

",NOT_ENG
103,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,h@m(6,1.0,88.0,3 years ago,2022-09-22,5.0," It was ok, the truck was loaded quickly.

",NOT_ENG
104,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,FDzzU,0.0,89.0,2 years ago,2022-09-22,5.0," There is always good help. Nice staff

",NOT_ENG
105,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,sb4oL,0.0,4.0,a year ago,2022-09-22,4.0," Nice company to work nice colleagues

",NOT_ENG
106,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,QurNa,1.0,44.0,3 years ago,2022-09-22,4.0," No problem.vzdy quickly cleared

",NOT_ENG
107,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,fWA%k,1.0,328.0,a year ago,2022-09-22,4.0," For all your air freight

",NOT_ENG
108,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,6m@wA,1.0,87.0,a year ago,2022-09-22,5.0," Very fast uploads and downloads. Showers, free toilet.

",NOT_ENG
109,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,jTiY%,0.0,203.0,a year ago,2022-09-22,2.0," 1 hour to unload 1 pallet. Self transport company!

",NOT_ENG
110,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,@0I@7,1.0,114.0,2 years ago,2022-09-22,4.0," Great company help well. Not specific to customers. Only drivers

",NOT_ENG
111,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,mUIio,0.0,10.0,6 years ago,2022-09-22,4.0," Here you can see beautiful planes landing and descending

",NOT_ENG
112,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,ac115,1.0,123.0,4 years ago,2022-09-22,5.0," Amsterdam I didn't have time to visit the city I arrived at night I made my cut and the next day I took the road I didn't have time to visit the city until next time maybe

",NOT_ENG
113,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,bO*Z7,0.0,6.0,10 months ago,2022-09-22,5.0," Great forwarding agency, punctual and nice drivers

",NOT_ENG
114,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,IDEBW,0.0,9.0,a year ago,2022-09-22,5.0," Best employer ever!!

",NOT_ENG
115,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,F2*g),1.0,484.0,3 years ago,2022-09-22,5.0," Was equally enjoyable.

",NOT_ENG
116,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,@0fNE,1.0,97.0,a year ago,2022-09-22,1.0," Takes way too long

",NOT_ENG
117,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,zQ7Vq,0.0,6.0,a year ago,2022-09-22,3.0," Works GJ.plakmeijer
Needed the car

",NOT_ENG
118,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,l!PiI,1.0,111.0,4 years ago,2022-09-22,5.0," Because I work there

",NOT_ENG
119,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,RzsvP,1.0,664.0,a year ago,2022-09-22,5.0,💢💞❤💫,ENG
120,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,ml0V8,0.0,33.0,9 months ago,2022-09-22,1.0," Chaos, no structure

",NOT_ENG
121,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,8PK@a,0.0,78.0,a year ago,2022-09-22,3.0," Not as bad as in Germany

",NOT_ENG
122,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,l1*dl,1.0,93.0,5 years ago,2022-09-22,5.0," Dear .... ✔

",NOT_ENG
123,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,BIA6R,1.0,186.0,4 years ago,2022-09-22,5.0," Good freight handler

",NOT_ENG
124,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,fOIq*,1.0,200.0,4 years ago,2022-09-22,5.0," great view

",NOT_ENG
125,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,LP!Ff,0.0,11.0,2 years ago,2022-09-22,1.0," Car parking only

",NOT_ENG
126,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,VU10l,0.0,20.0,2 years ago,2022-09-22,4.0," My job

",NOT_ENG
127,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,IcYFA,1.0,1223.0,4 years ago,2022-09-22,3.0," They take a long time to load

",NOT_ENG
128,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,c&Umw,1.0,101.0,3 years ago,2022-09-22,4.0," very professional

",NOT_ENG
129,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,31MS&,0.0,17.0,2 years ago,2022-09-22,4.0," →

",NOT_ENG
130,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,O$r#5,1.0,54.0,a year ago,2022-09-22,5.0," Very operational

",NOT_ENG
131,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,RVkmn,0.0,2.0,2 years ago,2022-09-22,5.0," Good

",NOT_ENG
132,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,HoS$j,1.0,55.0,4 years ago,2022-09-22,4.0," Client

",NOT_ENG
133,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,82OOi,1.0,282.0,4 years ago,2022-09-22,5.0," Good

",NOT_ENG
134,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,eMCs7,1.0,81.0,a year ago,2022-09-22,5.0," Fast ...

",NOT_ENG
135,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,cg$WH,0.0,14.0,a year ago,2022-09-22,5.0," Professionals

",NOT_ENG
136,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,5#rAo,1.0,22.0,3 years ago,2022-09-22,5.0,,
137,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,Oqx@k,0.0,1.0,4 years ago,2022-09-22,5.0,,
138,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,b03im,0.0,2.0,4 years ago,2022-09-22,1.0,,
139,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,!lwfH,1.0,51.0,2 years ago,2022-09-22,5.0,,
140,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,RPrQG,1.0,150.0,2 years ago,2022-09-22,5.0,,
141,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,bT7Cb,0.0,3.0,4 years ago,2022-09-22,4.0,,
142,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,UXgZu,1.0,14.0,4 years ago,2022-09-22,3.0,,
143,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,*KOtx,,,4 years ago,2022-09-22,4.0,,
144,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,$s72J,0.0,1.0,4 years ago,2022-09-22,3.0,,
145,Bos Logistics Schiphol,Trucking company,52.2937523,4.7701865,Schiphol,3.8,182.0,KOw6L,1.0,155.0,2 years ago,2022-09-22,4.0,,
