,Unnamed: 0.1,Unnamed: 0,name,type_company,lat,lon,city,avg_stars_num,n_reviews_num,encoded_user,local_guide,clean_other_review_num,published_date,today_date,stars_num,review_EN,original_lang,Negative,Neutral,Positive,Roberta_Sentiment
104,104,576,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,xq0iX,1,68,2017-09-27 21:32:38,2022-09-29,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
106,106,2908,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,dKz!9,1,68,2022-07-28 21:32:38,2022-09-30,4," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
107,107,2945,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,LOTzI,0,20,2021-09-27 21:32:38,2022-09-30,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
110,110,5649,DNA United Forwarders Ltd.,Freight forwarding service,51.5018037,4.7514188,Breda,4.4,81,Irx2x,1,199,2021-09-27 21:32:38,2022-09-23,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
111,111,5767,Speedliner Logistics BV,Logistics service,51.5919545,5.0236385,Tilburg,3.8,55,ZbLr^,1,32,2022-07-28 21:32:38,2022-09-24,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
116,116,378,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,UpCIH,1,67,2018-09-27 21:32:38,2022-09-23,5," Client

",NOT_ENG,26.62484049797058,63.60503435134888,9.77012887597084,Neutral
119,119,576,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,xq0iX,1,68,2017-09-27 21:32:38,2022-09-29,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
121,121,2908,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,dKz!9,1,68,2022-07-28 21:32:38,2022-09-30,4," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
122,122,2945,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,LOTzI,0,20,2021-09-27 21:32:38,2022-09-30,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
125,125,5649,DNA United Forwarders Ltd.,Freight forwarding service,51.5018037,4.7514188,Breda,4.4,81,Irx2x,1,199,2021-09-27 21:32:38,2022-09-23,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
126,126,5767,Speedliner Logistics BV,Logistics service,51.5919545,5.0236385,Tilburg,3.8,55,ZbLr^,1,32,2022-07-28 21:32:38,2022-09-24,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
163,163,4237,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,is0)&,1,56,2021-09-27 21:32:38,2022-09-24,5,Very good,ENG,0.527381245046854,4.285173863172531,95.18744349479675,Positive
168,168,356,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,PCpfK,0,4,2022-06-27 21:32:38,2022-09-23,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
169,169,370,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,gk*3Z,1,507,2021-12-26 21:32:38,2022-09-23,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
170,170,2233,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,DwVIO,1,45,2021-09-27 21:32:38,2022-09-25,4," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
172,172,3930,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,uAA$t,1,220,2020-09-27 21:32:38,2022-09-29,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
173,173,5047,Rhenus Contract Logistics Eindhoven B.V.,Logistics service,51.5031394,5.4775819,Son,4.2,59,6#JdZ,1,151,2022-04-27 21:32:38,2022-09-24,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
174,174,6033,NUNNER Logistics BV,Trucking company,51.4425821,5.7012394,Helmond,3.8,307,UyHqc,1,48,2021-11-25 21:32:38,2022-09-29,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
175,175,7482,Otentic Logistics B.V.,Storage facility,51.663253,4.838108,Oosterhout,4.2,80,e2fid,0,54,2020-09-27 21:32:38,2022-09-23,4," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
177,177,2947,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,^&5Xc,1,21,2015-09-27 21:32:38,2022-09-30,4," Work

",NOT_ENG,24.63667839765549,59.45582985877991,15.90749323368073,Neutral
178,178,4273,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,&B*Jb,1,20,2017-09-27 21:32:38,2022-09-24,5," Work

",NOT_ENG,24.63667839765549,59.45582985877991,15.90749323368073,Neutral
179,179,4898,Vortex Logistics,Logistics service,51.8471642,5.8087494,Nijmegen,4.3,42,(MC#J,1,17,2019-09-27 21:32:38,2022-09-24,5," Work

",NOT_ENG,24.63667839765549,59.45582985877991,15.90749323368073,Neutral
186,186,334,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,FRC)t,0,38,2020-09-27 21:32:38,2022-09-23,5,"Nice people . Fast loading ,( well atleast for me this time) but kind people",ENG,0.5235740914940834,5.587997287511826,93.88842582702637,Positive
187,187,335,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,k@Bu%,1,108,2018-09-27 21:32:38,2022-09-23,5,Good and reliable transport company,ENG,0.4777127411216497,11.3281287252903,88.19416165351868,Positive
188,188,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
189,189,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
190,190,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
195,195,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
197,197,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
199,199,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
200,200,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
202,202,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
203,203,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
205,205,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
210,210,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
211,211,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
212,212,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
217,217,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
219,219,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
221,221,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
222,222,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
224,224,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
225,225,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
227,227,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
232,232,338,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,GJeDR,1,153,2018-09-27 21:32:38,2022-09-23,4,Top Personal.,ENG,7.858055084943771,72.73958325386047,19.40235793590546,Neutral
233,233,339,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,f$fZb,0,331,2022-08-27 21:32:38,2022-09-23,4," I confirm my previous speakers quick loading 😉 you come to the office, you give the loading number, you write the loading number on the card, the truck and trailer numbers, and from which company you are, then the lady, I give you a letter with the dock number written out by you, you go for loading there, you give this card, you will load and with this card you go to the office, then pick up your documents and drive home 😉👍😁

",NOT_ENG,1.146571151912212,48.98620545864105,49.86721575260162,Positive
234,234,340,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,ljb*o,0,14,2022-08-30 21:32:38,2022-09-23,5," Fast loading friendly staff, there is a shower, toilet everything is clean. Good tasty coffee (free of charge). I liked it.

",NOT_ENG,0.3082933602854609,2.524026855826378,97.1676766872406,Positive
235,235,341,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,1O&10,0,10,2022-09-13 21:32:38,2022-09-23,5," Europe should learn from the Dutch. Always spotless.

",NOT_ENG,10.05814224481583,50.27610063552856,39.66575562953949,Neutral
236,236,342,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,7E)4N,1,75,2022-04-27 21:32:38,2022-09-23,5," Shower, toilet, free coffee, parking (not allowed at night) fast unloading. There is nowhere to stand near the company.

",NOT_ENG,45.8433598279953,42.84516572952271,11.3114669919014,Negative
237,237,343,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,wv%Eh,0,59,2022-05-28 21:32:38,2022-09-23,5," Quick unloading, shower, toilets, coffee, more respect for the company

",NOT_ENG,3.917372599244118,36.81232929229736,59.27028656005859,Positive
238,238,344,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,Jc)Wm,1,749,2021-09-27 21:32:38,2022-09-23,4," Easy to reach, pleasant employees at the office who calmly explain to you

",NOT_ENG,0.4990983754396439,7.33773335814476,92.16317534446716,Positive
239,239,345,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,!Gb@4,1,374,2022-07-28 21:32:38,2022-09-23,4," Good service and very fast

",NOT_ENG,0.5510387476533651,7.073069363832474,92.3758864402771,Positive
240,240,346,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,cFe8W,1,179,2022-03-27 21:32:38,2022-09-23,5," Very nice staff to deal with. And it has a structure for the driver, with shower.

",NOT_ENG,0.6259310524910688,5.45959360897541,93.91447305679321,Positive
241,241,347,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,fKFu5,1,17,2022-07-28 21:32:38,2022-09-23,5," Pleasant reception, quickly helped.

",NOT_ENG,0.3259451594203711,7.345025986433029,92.32903718948364,Positive
242,242,348,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,9vxs),1,41,2022-01-25 21:32:38,2022-09-23,2," Kaixo, I must have touched the national day of San Borde, a hesitant in the office and a slow and deaf staff on the dock. If I don't come back better.

",NOT_ENG,33.2556426525116,50.09079575538635,16.65356159210205,Neutral
243,243,349,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,5@Ja9,0,5,2021-09-27 21:32:38,2022-09-23,4," Super company very flexible if you ask at a different address or between a certain time they always meet. Nice to work with.
Friendly on the phone too. Team Light Collection

",NOT_ENG,0.2310895128175616,3.116404078900814,96.65250778198242,Positive
244,244,350,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,&SNSl,0,5,2022-05-28 21:32:38,2022-09-23,5," Quickly and efficiently without any problems

",NOT_ENG,2.18126717954874,45.83779871463776,51.9809365272522,Positive
245,245,351,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,qike0,1,1070,2020-09-27 21:32:38,2022-09-23,5," Smooth and friendly help with loading, loading docks available.

",NOT_ENG,0.3272433299571276,16.64495766162872,83.02780389785767,Positive
247,247,3883,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,qike0,1,1070,2020-09-27 21:32:38,2022-09-29,5," Smooth and friendly help with loading, loading docks available.

",NOT_ENG,0.3272433299571276,16.64495766162872,83.02780389785767,Positive
250,250,352,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,q^&cm,0,2,2021-09-27 21:32:38,2022-09-23,5," very nice friendly staff, have free coffee and shower I took a 9 hour break to load

",NOT_ENG,0.6365361157804728,4.819792509078979,94.54366564750671,Positive
251,251,353,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,&xxAA,1,60,2021-11-25 21:32:38,2022-09-23,4," Unloaded quickly
The building has a toilet and shower

",NOT_ENG,4.236505180597305,81.61002397537231,14.15347158908844,Neutral
252,252,354,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,60WJw,1,891,2020-09-27 21:32:38,2022-09-23,4," He could arrive and not have the whole load ready and have to wait a good time or even take 9 hours break.

",NOT_ENG,57.0850670337677,39.78800773620605,3.126939386129379,Negative
253,253,355,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,WXCLq,0,340,2021-09-27 21:32:38,2022-09-23,5," Logistics company, lets you sleep on the ramp, toilet, shower, kafe for free.

",NOT_ENG,2.370536141097546,37.77875304222107,59.85070466995239,Positive
255,255,356,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,PCpfK,0,4,2022-06-27 21:32:38,2022-09-23,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
256,256,370,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,gk*3Z,1,507,2021-12-26 21:32:38,2022-09-23,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
257,257,2233,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,DwVIO,1,45,2021-09-27 21:32:38,2022-09-25,4," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
259,259,3930,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,uAA$t,1,220,2020-09-27 21:32:38,2022-09-29,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
260,260,5047,Rhenus Contract Logistics Eindhoven B.V.,Logistics service,51.5031394,5.4775819,Son,4.2,59,6#JdZ,1,151,2022-04-27 21:32:38,2022-09-24,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
261,261,6033,NUNNER Logistics BV,Trucking company,51.4425821,5.7012394,Helmond,3.8,307,UyHqc,1,48,2021-11-25 21:32:38,2022-09-29,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
262,262,7482,Otentic Logistics B.V.,Storage facility,51.663253,4.838108,Oosterhout,4.2,80,e2fid,0,54,2020-09-27 21:32:38,2022-09-23,4," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
263,263,357,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,(cQE4,1,109,2021-09-27 21:32:38,2022-09-23,5," Top report, get papers and go 30 min

",NOT_ENG,9.551233798265457,83.48389863967896,6.964866071939468,Neutral
264,264,358,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,!acGn,1,66,2020-09-27 21:32:38,2022-09-23,4," Has showers and free coffee for free coffees friendly treatment good place 🙂

",NOT_ENG,0.1253773225471377,4.822781682014465,95.0518250465393,Positive
265,265,359,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,4P6)C,0,6,2021-09-27 21:32:38,2022-09-23,5," Reliable and nice party to work with.

",NOT_ENG,0.2907836809754372,5.250655859708786,94.45856213569641,Positive
266,266,360,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,zblt@,1,71,2022-02-25 21:32:38,2022-09-23,5," They charge super fast

",NOT_ENG,0.954692717641592,22.43307828903198,76.61222815513611,Positive
267,267,361,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,TwpOj,0,6,2021-09-27 21:32:38,2022-09-23,3," good company and welcoming to drivers

",NOT_ENG,0.2632573014125228,5.827071517705917,93.90966296195984,Positive
268,268,362,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,On4Ln,0,1,2022-05-28 21:32:38,2022-09-23,5," Nice sweer

",NOT_ENG,2.245774306356907,22.79303967952728,74.96117949485779,Positive
269,269,363,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,PM(Yr,1,18,2018-09-27 21:32:38,2022-09-23,4," Unloading quickly efficiently, without problems. Toilet and shower clean.

",NOT_ENG,0.5343446042388678,17.79175251722336,81.67392015457153,Positive
270,270,364,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,2k^&U,1,462,2021-09-27 21:32:38,2022-09-23,5," Very well. I love Nederland!!!

",NOT_ENG,0.3173079341650009,1.360246818512678,98.32245707511902,Positive
271,271,365,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,%y7)9,1,84,2021-09-27 21:32:38,2022-09-23,4," Fast Loading, good staff.

",NOT_ENG,0.8103329688310623,14.62922543287277,84.56043601036072,Positive
272,272,366,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,VYFiV,1,244,2020-09-27 21:32:38,2022-09-23,3," Nothing wrong with that, friendly and fast

",NOT_ENG,2.387057803571224,34.1141551733017,63.49878907203674,Positive
273,273,367,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,P3m3c,1,104,2018-09-27 21:32:38,2022-09-23,5," Competent and only staff. More such unloads and downloads

",NOT_ENG,50.12993812561035,44.03174221515656,5.83832748234272,Negative
274,274,368,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,a575%,1,137,2021-09-27 21:32:38,2022-09-23,5," Fast adequate operation👍👍👍👍👍

",NOT_ENG,1.007525902241468,27.94380187988281,71.04865908622742,Positive
275,275,369,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,Iw(uQ,1,604,2019-09-27 21:32:38,2022-09-23,3," Good logistics company has already changed site problems

",NOT_ENG,4.786350578069687,32.04232454299927,63.1713330745697,Positive
277,277,356,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,PCpfK,0,4,2022-06-27 21:32:38,2022-09-23,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
278,278,370,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,gk*3Z,1,507,2021-12-26 21:32:38,2022-09-23,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
279,279,2233,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,DwVIO,1,45,2021-09-27 21:32:38,2022-09-25,4," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
281,281,3930,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,uAA$t,1,220,2020-09-27 21:32:38,2022-09-29,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
282,282,5047,Rhenus Contract Logistics Eindhoven B.V.,Logistics service,51.5031394,5.4775819,Son,4.2,59,6#JdZ,1,151,2022-04-27 21:32:38,2022-09-24,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
283,283,6033,NUNNER Logistics BV,Trucking company,51.4425821,5.7012394,Helmond,3.8,307,UyHqc,1,48,2021-11-25 21:32:38,2022-09-29,5," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
284,284,7482,Otentic Logistics B.V.,Storage facility,51.663253,4.838108,Oosterhout,4.2,80,e2fid,0,54,2020-09-27 21:32:38,2022-09-23,4," Fast loading

",NOT_ENG,4.157009720802307,63.86447548866272,31.97850584983826,Neutral
285,285,371,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,(^Zno,1,124,2020-09-27 21:32:38,2022-09-23,5," Fast friendly professionals !!!

",NOT_ENG,0.7912589237093925,19.74099576473236,79.46774959564209,Positive
286,286,372,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,XsRXO,0,79,2020-09-27 21:32:38,2022-09-23,3," Good conditions for drivers

",NOT_ENG,0.5146297160536051,17.47427582740784,82.01109766960144,Positive
287,287,373,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,IXn#G,1,143,2018-09-27 21:32:38,2022-09-23,5," Conditions for impeccable drivers

",NOT_ENG,0.8298003114759922,23.20973724126816,75.96046328544617,Positive
